source,term,freq
rappler,complaint,11
rappler,complaints,11
rappler,complete,2
rappler,completed,12
rappler,completion,5
rappler,compliance,8
rappler,complication,1
rappler,complicit,1
rappler,complicity,1
rappler,comply,2
rappler,components,1
rappler,composed,4
rappler,composite,1
rappler,compostela,1
rappler,comprehensive,2
rappler,compromised,1
rappler,computer,4
rappler,computers,1
rappler,concealment,1
rappler,concentrated,1
rappler,concept,1
rappler,concern,2
rappler,concerned,3
rappler,concerning,1
rappler,concerns,3
rappler,concluded,1
rappler,concrete,3
rappler,condemnation,1
rappler,condemned,2
rappler,condemning,1
rappler,condition,1
rappler,conditions,1
rappler,conduct,9
rappler,conducted,9
rappler,conducting,3
rappler,conduit,1
rappler,conference,4
rappler,confidence,6
rappler,confidential,1
rappler,confined,1
rappler,confines,1
rappler,confirm,1
rappler,conflict,2
rappler,conflicting,1
rappler,confront,1
rappler,confronted,1
rappler,congestion,1
rappler,conglomerate,3
rappler,congress,16
rappler,congressional,11
rappler,congressmen,4
rappler,congresswoman,1
rappler,connect,1
rappler,connected,1
rappler,connection,1
rappler,connive,2
rappler,connived,1
rappler,conquer,1
rappler,consensus,3
rappler,consequences,4
rappler,conservation,1
rappler,conserve,1
rappler,consider,2
rappler,considered,6
rappler,considering,1
rappler,considers,1
rappler,consistent,1
rappler,consistently,1
rappler,conspired,1
rappler,constant,1
rappler,constitute,1
rappler,constitution,2
rappler,constitutional,5
rappler,constrained,1
rappler,constrict,1
rappler,constructed,6
rappler,construction,59
rappler,constructive,1
rappler,constructors,1
rappler,consuelo,1
rappler,consultation,1
rappler,consumers,1
rappler,contain,1
rappler,contempt,1
rappler,content,5
rappler,continued,2
rappler,continues,1
rappler,continuing,1
rappler,continuous,2
rappler,contract,14
rappler,contracted,3
rappler,contractor,23
rappler,contractors,53
rappler,contracts,30
rappler,contradict,1
rappler,contrast,1
rappler,contrasting,1
rappler,contribute,3
rappler,contributed,1
rappler,contributing,2
rappler,controlled,1
rappler,controversial,5
rappler,controversy,5
rappler,convenient,1
rappler,conveniently,1
rappler,conviction,1
rappler,convinced,1
rappler,cooperate,2
rappler,cooperation,2
rappler,coordinate,2
rappler,coordination,7
rappler,coordinator,3
rappler,copies,1
rappler,copy,1
rappler,corales,1
rappler,core,1
rappler,cornered,3
rappler,corp,2
rappler,corporation,24
rappler,correct,2
rappler,corrected,2
rappler,correction,1
rappler,corrections,1
rappler,corrective,2
rappler,corresponding,2
rappler,corridor,1
rappler,corroborating,1
rappler,corrupt,14
rappler,corrupted,1
rappler,corruption,76
rappler,cost,17
rappler,costly,2
rappler,costs,3
rappler,cotabato,8
rappler,cotcot,1
rappler,could,21
rappler,council,1
rappler,councilor,1
rappler,count,2
rappler,counter,2
rappler,countless,1
rappler,countries,6
rappler,country,29
rappler,couple,1
rappler,course,3
rappler,court,6
rappler,courtesy,1
rappler,courts,2
rappler,cousin,1
rappler,cover,1
rappler,covered,1
rappler,covers,2
rappler,cow,1
rappler,crackdown,2
rappler,cracks,1
rappler,created,6
rappler,creates,1
rappler,creating,2
rappler,creation,5
rappler,creator,2
rappler,creators,1
rappler,creature,1
rappler,credentials,1
rappler,credibility,3
rappler,credible,1
rappler,credibly,2
rappler,creek,3
rappler,creeks,1
rappler,cried,1
rappler,criminal,11
rappler,crippling,1
rappler,crising,1
rappler,crisis,6
rappler,cristo,1
rappler,critical,5
rappler,critically,2
rappler,criticism,2
rappler,criticisms,2
rappler,criticized,2
rappler,critics,2
rappler,crooks,1
rappler,crops,1
rappler,cross,1
rappler,crowd,2
rappler,crowdsource,1
rappler,crowdsourcing,2
rappler,crucial,2
rappler,crumble,1
rappler,crumbling,1
rappler,cruz,13
rappler,cryptographically,2
rappler,culture,1
rappler,culvert,1
rappler,culverts,1
rappler,cumulative,1
rappler,curated,1
rappler,curlee,3
rappler,current,14
rappler,currently,2
rappler,currents,1
rappler,curtailed,1
rappler,curtailing,1
rappler,curtails,1
rappler,custody,4
rappler,cut,4
rappler,cuts,1
rappler,cyber,1
rappler,cycle,6
rappler,cyclone,1
rappler,cynical,1
rappler,cynicism,1
rappler,daan,2
rappler,dahilan,1
rappler,dahl,2
rappler,daily,1
rappler,dale,1
rappler,dalig,1
rappler,dam,1
rappler,damage,14
rappler,damages,2
rappler,dami,1
rappler,dams,3
rappler,danao,1
rappler,danger,1
rappler,dangerous,1
rappler,dangerously,1
rappler,dangers,1
rappler,dao,3
rappler,dashboard,2
rappler,data,24
rappler,database,3
rappler,date,1
rappler,dated,2
rappler,dating,3
rappler,daughter,4
rappler,daughters,3
rappler,davao,7
rappler,david,4
rappler,day,3
rappler,days,5
rappler,dbm,4
rappler,deactivated,2
rappler,deadliest,1
rappler,deal,1
rappler,dealings,1
rappler,deaths,2
rappler,debris,3
rappler,debt,1
rappler,debts,1
rappler,decade,1
rappler,decades,4
rappler,deceit,1
rappler,decentralized,1
rappler,decide,1
rappler,decides,1
rappler,decision,5
rappler,decisions,1
rappler,declaration,1
rappler,declared,1
rappler,declining,1
rappler,declogging,1
rappler,decreased,1
rappler,decree,3
rappler,dedicated,4
rappler,dee,2
rappler,deemed,1
rappler,deep,4
rappler,deeper,1
rappler,deeply,1
rappler,default,1
rappler,defeated,2
rappler,defects,1
rappler,defense,3
rappler,defenseless,1
rappler,defenses,1
rappler,defiant,1
rappler,defined,1
rappler,defines,1
rappler,defining,1
rappler,definitely,1
rappler,definition,2
rappler,defuse,1
rappler,degraded,1
rappler,degrees,1
rappler,del,4
rappler,delay,1
rappler,delays,2
rappler,delete,1
rappler,deleted,4
rappler,deletion,1
rappler,deliberate,1
rappler,deliver,2
rappler,delivered,1
rappler,delivering,1
rappler,delivers,1
rappler,delubyo,2
rappler,demand,4
rappler,demanding,1
rappler,demands,1
rappler,demokratiko,1
rappler,demonstrates,1
rappler,denied,1
rappler,dennis,1
rappler,denounce,1
rappler,denr,5
rappler,deo,6
rappler,departamento,1
rappler,department,45
rappler,departmental,2
rappler,dependence,1
rappler,depends,1
rappler,deputy,4
rappler,describe,1
rappler,described,3
rappler,deserve,3
rappler,design,3
rappler,designated,1
rappler,designed,2
rappler,designer,2
rappler,designs,1
rappler,desilting,1
rappler,despite,14
rappler,destabilize,1
rappler,destroy,2
rappler,destroyed,3
rappler,destruction,7
rappler,destructive,2
rappler,detail,1
rappler,detailed,2
rappler,detailing,1
rappler,details,10
rappler,detained,1
rappler,detect,2
rappler,detectable,1
rappler,detection,2
rappler,detention,2
rappler,determine,2
rappler,deters,1
rappler,devastation,1
rappler,develop,1
rappler,developed,4
rappler,developer,2
rappler,developing,1
rappler,development,17
rappler,device,1
rappler,diagnose,1
rappler,dictator,1
rappler,didn,1
rappler,died,4
rappler,dies,1
rappler,difference,1
rappler,different,10
rappler,difficult,3
rappler,difficulty,2
rappler,digital,6
rappler,digitally,3
rappler,dike,3
rappler,dikes,4
rappler,direct,1
rappler,directing,1
rappler,directive,3
rappler,directly,3
rappler,director,7
rappler,disability,1
rappler,disallowance,1
rappler,disappearance,1
rappler,disappointed,1
rappler,disapproved,2
rappler,disaster,4
rappler,disasters,7
rappler,disbursed,1
rappler,disbursement,3
rappler,disbursements,2
rappler,discaya,10
rappler,discayas,3
rappler,disciplined,1
rappler,disclose,1
rappler,disclosure,2
rappler,disconnect,1
rappler,discounts,1
rappler,discourse,2
rappler,discover,1
rappler,discovered,2
rappler,discrepancy,1
rappler,discretionary,1
rappler,discussing,1
rappler,discussions,1
rappler,dishonesty,2
rappler,dismantle,1
rappler,dismissal,1
rappler,dismissed,5
rappler,displacing,1
rappler,display,2
rappler,disputed,1
rappler,disqualification,1
rappler,disqualified,1
rappler,disrupt,1
rappler,disrupting,1
rappler,dissect,1
rappler,dissection,1
rappler,distracts,1
rappler,distributed,2
rappler,distribution,1
rappler,district,37
rappler,distrust,5
rappler,distrusts,1
rappler,disturbing,1
rappler,diverges,1
rappler,diverse,1
rappler,diversified,1
rappler,diversion,1
rappler,diversionary,1
rappler,divert,2
rappler,dives,1
rappler,divest,3
rappler,divested,3
rappler,divestment,2
rappler,divided,1
rappler,dizon,22
rappler,dizzying,1
rappler,document,2
rappler,documents,16
rappler,doesn,1
rappler,dog,2
rappler,doj,4
rappler,dolor,12
rappler,domestic,1
rappler,domestically,1
rappler,dominant,1
rappler,dominated,1
rappler,dominates,1
rappler,dominating,1
rappler,dominic,1
rappler,done,14
rappler,donor,1
rappler,dost,1
rappler,dots,3
rappler,double,1
rappler,doubt,3
rappler,doubtful,1
rappler,doubts,1
rappler,download,1
rappler,downloading,1
rappler,downstream,2
rappler,dozen,1
rappler,dozens,2
rappler,dpwhfloodchain,1
rappler,dragged,1
rappler,drain,1
rappler,drainage,7
rappler,drained,1
rappler,drains,1
rappler,dramatic,1
rappler,drastic,1
rappler,draw,1
rappler,drawing,1
rappler,dream,1
rappler,dredging,3
rappler,drink,1
rappler,driven,1
rappler,driving,1
rappler,drone,1
rappler,dropped,2
rappler,drown,2
rappler,due,7
rappler,dugo,2
rappler,dumaguete,1
rappler,dumaliang,1
rappler,dumanjug,1
rappler,duplicate,3
rappler,duplicative,1
rappler,dusty,1
rappler,duterte,10
rappler,duties,1
rappler,duty,3
rappler,dwarfs,1
rappler,dysfunction,1
rappler,earlier,8
rappler,earliest,1
rappler,early,1
rappler,ears,1
rappler,earth,2
rappler,easier,1
rappler,easily,1
rappler,eats,1
rappler,ebidensya,1
rappler,ecc,6
rappler,eccs,1
rappler,echoed,1
rappler,echoes,1
rappler,ecija,1
rappler,ecological,1
rappler,economic,7
rappler,economy,1
rappler,ecosystem,1
rappler,edgar,1
rappler,edge,1
rappler,editable,1
rappler,edsa,4
rappler,education,5
rappler,effect,2
rappler,effective,5
rappler,effectively,2
rappler,effects,2
rappler,efficiency,2
rappler,effort,1
rappler,efforts,6
rappler,eias,2
rappler,eight,2
rappler,eighth,1
rappler,either,11
rappler,eksperto,1
rappler,elected,2
rappler,election,3
rappler,elections,3
rappler,electricity,1
rappler,eliminating,2
rappler,elite,1
rappler,eloisa,2
rappler,else,1
rappler,elvira,1
rappler,emailed,1
rappler,embankment,4
rappler,embankments,3
rappler,embarcadero,1
rappler,embed,1
rappler,embedded,1
rappler,embedding,1
rappler,emergency,2
rappler,emerges,1
rappler,emong,1
rappler,emotion,3
rappler,emotional,1
rappler,emphasized,2
rappler,employees,8
rappler,empower,1
rappler,empty,1
rappler,emulate,1
rappler,enabled,2
rappler,enabling,1
rappler,enacting,1
rappler,encoded,2
rappler,encroaching,1
rappler,encroachment,1
rappler,encrypted,2
rappler,end,12
rappler,ended,1
rappler,endemic,1
rappler,ending,1
rappler,endorsed,1
rappler,endure,3
rappler,energy,5
rappler,enforceable,1
rappler,enforced,1
rappler,enforcement,2
rappler,engage,4
rappler,engagement,2
rappler,engaging,1
rappler,engine,1
rappler,engineer,17
rappler,engineering,16
rappler,engineers,5
rappler,english,1
rappler,engulfed,1
rappler,enhance,1
rappler,enhanced,2
rappler,enough,7
rappler,enrich,1
rappler,ensure,7
rappler,ensures,1
rappler,ensuring,2
rappler,entail,2
rappler,enteng,1
rappler,entered,1
rappler,entering,1
rappler,enterprise,1
rappler,enterprises,1
rappler,enters,1
rappler,entire,4
rappler,entities,3
rappler,entrenched,3
rappler,entries,1
rappler,entry,5
rappler,enumerated,2
rappler,envelop,1
rappler,environment,8
rappler,environmental,12
rappler,envision,1
rappler,ephraim,1
rappler,epicenter,2
rappler,equal,1
rappler,equally,2
rappler,equate,1
rappler,equipment,4
rappler,erase,1
rappler,erased,1
rappler,erasing,1
rappler,erasure,1
rappler,erice,2
rappler,ericka,1
rappler,ernesto,2
rappler,eroded,1
rappler,erodes,3
rappler,eroding,2
rappler,erosion,3
rappler,errata,1
rappler,erratic,1
rappler,error,3
rappler,erupted,1
rappler,erwin,1
rappler,escalates,1
rappler,escudero,2
rappler,esidents,1
rappler,esmael,1
rappler,esmaquel,1
rappler,especially,12
rappler,essence,1
rappler,essential,4
rappler,establish,1
rappler,established,2
rappler,estero,1
rappler,estimate,1
rappler,estimated,6
rappler,estimates,2
rappler,estonia,1
rappler,estrada,5
rappler,ethical,6
rappler,eumir,1
rappler,europe,1
rappler,evacuate,1
rappler,evacuation,1
rappler,evaluate,1
rappler,evaluation,6
rappler,even,24
rappler,eventually,1
rappler,every,34
rappler,everybody,1
rappler,everyone,3
rappler,evidence,14
rappler,evident,1
rappler,exactly,1
rappler,examining,1
rappler,example,5
rappler,exceed,1
rappler,excess,5
rappler,exchange,4
rappler,excited,1
rappler,excluding,1
rappler,excuses,1
rappler,executed,1
rappler,executing,1
rappler,execution,1
rappler,executive,8
rappler,executives,1
rappler,executory,1
rappler,exercise,1
rappler,exercised,1
rappler,exercising,1
rappler,exerted,1
rappler,exist,2
rappler,existed,2
rappler,existent,4
rappler,existing,3
rappler,expansion,2
rappler,expect,1
rappler,expectations,2
rappler,expected,5
rappler,expenditure,3
rappler,expense,1
rappler,expensive,3
rappler,experience,4
rappler,experienced,2
rappler,experiences,1
rappler,expertise,1
rappler,experts,7
rappler,explain,2
rappler,explained,2
rappler,explainer,1
rappler,explainers,2
rappler,explaining,1
rappler,explains,1
rappler,explanation,1
rappler,exploitative,1
rappler,expose,3
rappler,exposed,5
rappler,exposes,1
rappler,exposing,4
rappler,exposés,2
rappler,express,2
rappler,expressed,3
