term,freq
hahahaha,22
balik,22
nagawa,22
kurapsyon,22
school,22
admin,22
pansin,22
binoto,22
areas,21
land,21
yet,21
including,21
issues,21
social,21
program,21
taumbayan,21
imagine,21
obvious,21
erwin,21
patuloy,21
governo,21
milyon,21
ina,21
binabaha,21
damay,21
namn,21
natatakot,21
bka,21
evil,21
nla,21
goberno,21
asan,21
konsensya,21
malalaking,21
sapat,21
lives,20
island,20
road,20
approved,20
building,20
agencies,20
documents,20
use,20
location,20
enough,20
non,20
different,20
level,20
japan,20
making,20
governance,20
luxury,20
deserve,20
whole,20
court,20
process,20
loria,20
run,20
called,20
guilt,20
weak,20
rally,20
worst,20
pagbaha,20
napunta,20
makita,20
ngayun,20
masyado,20
nyang,20
cya,20
pilit,20
sariling,20
khit,20
grabi,20
nakaka,20
cguro,20
kamay,20
nagnakaw,20
amg,20
tino,19
despite,19
builders,19
received,19
metro,19
questions,19
map,19
love,19
hard,19
bohol,19
contract,19
clear,19
challenge,19
save,19
mang,19
scam,19
napupunta,19
got,19
reason,19
history,19
kunwari,19
asawa,19
patay,19
etc,19
laman,19
kala,19
maibalik,19
kaluluwa,19
kayang,19
kasakiman,19
kunin,19
perang,19
gumagawa,19
isipin,19
namumuno,19
magagawa,19
moro,19
napaka,19
binigay,19
kapa,19
villar,18
safety,18
communities,18
cruz,18
cases,18
bernardo,18
escudero,18
sunwest,18
find,18
visayas,18
means,18
news,18
governments,18
focus,18
happening,18
wealth,18
often,18
programs,18
politician,18
anomalies,18
ulan,18
put,18
bidding,18
cover,18
free,18
companies,18
chairman,18
sistema,18
soul,18
sasakyan,18
sira,18
bulok,18
nato,18
marcobeta,18
amo,18
salapi,18
imbistigasyon,18
watching,18
nawa,18
gawain,18
lalong,18
tawa,18
tungkol,18
tanggalin,18
bagay,18
tsk,18
subrang,18
nia,18
nakakalungkot,18
upo,18
simula,18
manga,18
matatapos,18
usapan,18
natakot,18
ibigay,18
madam,18
linked,17
quality,17
code,17
far,17
others,17
english,17
either,17
however,17
record,17
peso,17
civil,17
information,17
damage,17
needs,17
hold,17
region,17
representatives,17
happen,17
send,17
deep,17
behind,17
blood,17
proof,17
today,17
support,17
solution,17
ebidensya,17
sunod,17
siyang,17
bumoto,17
nakakagigil,17
imbestiga,17
kumanta,17
hawak,17
die,17
lakas,17
ganon,17
salot,17
walng,17
gawing,17
tapat,17
firing,17
squad,17
nagbabayad,17
naawa,17
tpos,17
accountable,16
personal,16
master,16
scandal,16
allegations,16
violation,16
two,16
dike,16
albay,16
period,16
pwedeng,16
management,16
planning,16
previous,16
members,16
majority,16
shows,16
something,16
actually,16
old,16
families,16
future,16
countries,16
stolen,16
mind,16
becomes,16
heart,16
tiangco,16
pay,16
taxes,16
happened,16
andyan,16
obviously,16
words,16
icc,16
pamahalaan,16
nagsisinungaling,16
malamang,16
hanggat,16
ugat,16
maniniwala,16
thieves,16
gising,16
tiwala,16
sna,16
romualdes,16
nagnanakaw,16
politika,16
una,16
kalaban,16
patas,16
saludo,16
dto,16
niyang,16
sambayanan,16
wish,16
kaysa,16
utal,16
aming,16
bigay,16
iyak,16
raffy,16
10k,16
miss,16
kmjs,16
paid,15
wants,15
storm,15
read,15
pasig,15
needed,15
completed,15
months,15
vince,15
anti,15
procurement,15
henry,15
environmental,15
interview,15
release,15
major,15
open,15
cause,15
term,15
integrity,15
possible,15
scrutiny,15
comes,15
standard,15
pro,15
came,15
coming,15
owner,15
highway,15
aquino,15
dolor,15
witnesses,15
cash,15
purpose,15
return,15
start,15
kapatid,15
dhil,15
magbayad,15
ever,15
mabawasan,15
pangungurakot,15
proud,15
crocs,15
masyadong,15
malapit,15
ginawang,15
nitong,15
warrant,15
katabi,15
alisin,15
palitan,15
lhat,15
malaki,15
magiging,15
ahensya,15
tamba,15
cno,15
samantala,15
pundo,15
binaha,15
ingat,15
solid,15
unti,15
tumakbo,15
ala,15
tau,15
tignan,15
bawiin,15
mangyari,15
kpa,15
ayuda,15
ofw,15
dyn,15
magawa,15
kalikasan,15
palagi,15
living,14
biggest,14
failed,14
plan,14
file,14
single,14
multi,14
graft,14
arevalo,14
chiz,14
employees,14
mindoro,14
interest,14
address,14
group,14
given,14
community,14
systems,14
call,14
multiple,14
past,14
decision,14
illegal,14
exposed,14
account,14
food,14
won,14
makapa,14
taxpayers,14
check,14
dugo,14
boy,14
fund,14
discayas,14
curlee,14
lies,14
fact,14
bring,14
higit,14
tingin,14
trying,14
masama,14
ibinoto,14
unahin,14
sina,14
matalino,14
umalis,14
nakita,14
bida,14
du30,14
amen,14
lusot,14
hatol,14
putol,14
dalawa,14
revilla,14
maliwanag,14
hayup,14
poro,14
nakinabang,14
ama,14
masasabi,14
makikita,14
rich,14
guy,14
maling,14
testigo,14
ganda,14
satanas,14
nan,14
halaga,14
narin,14
liv,14
saka,14
sunugin,14
hihirap,14
bumaba,14
marunong,14
lungkot,14
korakot,14
pareho,14
tubigon,14
magtanong,14
held,13
prevent,13
added,13
order,13
site,13
legal,13
reyes,13
considered,13
general,13
looking,13
opinion,13
individuals,13
home,13
share,13
sense,13
turn,13
bad,13
decades,13
fraud,13
days,13
play,13
offices,13
follow,13
able,13
progress,13
regional,13
politics,13
someone,13
afraid,13
education,13
foreign,13
times,13
napoles,13
mismong,13
self,13
rather,13
carried,13
position,13
set,13
society,13
explain,13
feeling,13
credible,13
answer,13
crime,13
patayin,13
matibay,13
sige,13
napo,13
kasali,13
markubeta,13
mamayan,13
bumalik,13
sigurado,13
lindol,13
hustisya,13
palabas,13
tahimik,13
gamit,13
panagutin,13
saldy,13
attorney,13
abs,13
lagyan,13
unang,13
tuta,13
klaro,13
sisihin,13
maparusahan,13
upang,13
malakanyang,13
mananagot,13
ntin,13
ana,13
kayu,13
muka,13
sanay,13
knila,13
buhangin,13
proteksyon,13
malinis,13
politikong,13
pina,13
samin,13
isla,13
gubyerno,13
kausap,13
allegedly,12
properties,12
firm,12
caused,12
highest,12
prone,12
released,12
told,12
occidental,12
reported,12
drainage,12
actions,12
complaint,12
complaints,12
respondents,12
details,12
move,12
impact,12
denr,12
ensure,12
mean,12
main,12
international,12
present,12
records,12
mayors,12
choice,12
original,12
chat,12
impeachment,12
ground,12
post,12
leave,12
director,12
became,12
lifestyle,12
style,12
nahihiya,12
ring,12
ongoing,12
lie,12
everyone,12
bank,12
aksyon,12
threat,12
economic,12
responsible,12
sin,12
denied,12
asia,12
survey,12
chair,12
balita,12
resulta,12
nawala,12
pumirma,12
hangang,12
palusot,12
cars,12
clean,12
pamilyang,12
innocent,12
nku,12
magandang,12
questioning,12
pagtakpan,12
kaagad,12
lht,12
ndi,12
kagaya,12
katapusan,12
buking,12
tagalog,12
karamihan,12
matapang,12
arrest,12
kongreso,12
anomalya,12
sumagot,12
testimony,12
cbn,12
taas,12
kalamidad,12
administrasyon,12
ata,12
mambabatas,12
niloloko,12
tulungan,12
nun,12
makapag,12
nagsimula,12
usec,12
tumulong,12
kalakaran,12
mangurakot,12
barya,12
ewan,12
ninyong,12
aral,12
anung,12
tigil,12
mention,12
baguhin,12
tiyak,12
baboy,12
iloilo,12
tanggalan,12
camera,12
nandyan,12
nlang,12
eleksyon,12
uli,12
bumaha,12
limpak,12
kahoy,12
kontraktor,12
remember,12
episode,12
left,11
asking,11
second,11
number,11
towns,11
firms,11
inc,11
grave,11
several,11
rivers,11
place,11
inspection,11
powerful,11
later,11
falsification,11
pending,11
conduct,11
standards,11
business,11
residents,11
monday,11
forward,11
environment,11
resources,11
saying,11
fight,11
spending,11
structures,11
result,11
normal,11
resource,11
houses,11
fellow,11
congressional,11
oversight,11
rock,11
wait,11
funding,11
matter,11
singson,11
seen,11
results,11
eyes,11
room,11
widespread,11
lack,11
bilyong,11
sector,11
affected,11
higher,11
executive,11
insertions,11
things,11
children,11
allies,11
expose,11
become,11
pinky,11
kickbacks,11
cross,11
vote,11
super,11
security,11
ago,11
percent,11
simple,11
perfect,11
knowing,11
madaling,11
buwayang,11
chinese,11
binigyan,11
panay,11
mafia,11
magresign,11
nagiging,11
bend,11
animal,11
kaka,11
nka,11
pinagtatakpan,11
yabang,11
gulo,11
magbigay,11
sakuna,11
aso,11
binabasa,11
kahihiyan,11
tiangcong,11
bangus,11
nagsalita,11
freeze,11
bilis,11
rondain,11
bias,11
hwag,11
insertion,11
ipa,11
negligence,11
kalokohan,11
imbistiga,11
maliit,11
kaalyado,11
sisi,11
ikolong,11
anjan,11
boong,11
tlg,11
payagan,11
piro,11
talamak,11
dalawang,11
pumasok,11
kelangan,11
duon,11
binanggit,11
kuya,11
bayaran,11
sabay,11
nmin,11
tayu,11
ganoon,11
kaayo,11
hayaan,11
poh,11
humingi,11
mata,11
nice,11
naisip,11
jingoy,11
nepal,11
tiwali,11
iboboto,11
pasay,11
bibigyan,11
malasakit,11
bigla,11
talga,11
nalulungkot,11
silbi,11
mababang,11
kesa,11
tinatanong,11
hit,10
wake,10
showed,10
flooded,10
oriental,10
town,10
charges,10
chairperson,10
andres,10
2nd,10
malversation,10
syms,10
service,10
gross,10
ordered,10
findings,10
table,10
compliance,10
allowed,10
proposed,10
investigating,10
less,10
demand,10
technical,10
disasters,10
generation,10
global,10
collapse,10
effective,10
nature,10
nationwide,10
accounts,10
protecting,10
protected,10
went,10
within,10
created,10
serve,10
expect,10
tag,10
calling,10
partylist,10
truly,10
asked,10
rain,10
gigil,10
entire,10
small,10
young,10
pamarisan,10
mentioned,10
hearings,10
cut,10
course,10
test,10
impossible,10
digital,10
hide,10
lgu,10
upon,10
faith,10
moral,10
labor,10
human,10
garcia,10
ilalim,10
nepo,10
getting,10
makasuhan,10
rights,10
busog,10
budol,10
nasalanta,10
itigil,10
ilagay,10
ginagamit,10
panggulo,10
palagay,10
paikot,10
peru,10
bam,10
talino,10
marco,10
laglagan,10
turo,10
dumating,10
kalagayan,10
pagod,10
tumigil,10
ilabas,10
kagagawan,10
darating,10
sakit,10
gamitin,10
tubol,10
punong,10
dela,10
makonsensya,10
ganyang,10
talk,10
everything,10
ayusin,10
mahuli,10
nakikinabang,10
paki,10
buwan,10
pres,10
kwentang,10
natatawa,10
kumilos,10
dala,10
butas,10
ilan,10
dumami,10
plano,10
naa,10
posisyon,10
jud,10
tawag,10
kopya,10
pagbabago,10
sundalo,10
masamang,10
voters,10
clang,10
usap,10
tanggapin,10
gabayan,10
saya,10
syempre,10
magalit,10
simpleng,10
yumaman,10
matuto,10
pare,10
lagay,10
niu,10
great,10
boses,10
deped,10
tanungin,10
magkaroon,10
destruction,9
died,9
built,9
secured,9
took,9
destroyed,9
negros,9
though,9
side,9
services,9
conducted,9
station,9
administrative,9
commissioner,9
three,9
brought,9
straight,9
republic,9
1st,9
trading,9
status,9
awarded,9
materials,9
galang,9
riverbank,9
meanwhile,9
anyway,9
experts,9
risk,9
important,9
large,9
sea,9
says,9
example,9
pampanga,9
infra,9
systemic,9
police,9
worse,9
typhoons,9
authority,9
efforts,9
together,9
accept,9
response,9
sona,9
anyone,9
ways,9
anything,9
groups,9
victims,9
remains,9
suffer,9
finally,9
proper,9
thing,9
regarding,9
website,9
devastation,9
streets,9
pork,9
barrel,9
father,9
lead,9
pawis,9
nararapat,9
recently,9
central,9
circus,9
benefit,9
punished,9
eye,9
insert,9
protest,9
syndicate,9
roads,9
care,9
short,9
contempt,9
pulse,9
late,9
huge,9
panoorin,9
ngayong,9
tuwing,9
nations,9
bwesit,9
probinsya,9
culprit,9
fall,9
calamity,9
serious,9
pagkain,9
protektado,9
bastos,9
sinongaling,9
tatakpan,9
restitution,9
umpisa,9
uusapan,9
isyu,9
bobo,9
andaming,9
nakakaawa,9
kapalit,9
sinong,9
sau,9
joke,9
iisipin,9
maybe,9
nakurakot,9
agree,9
husto,9
tulog,9
ehh,9
kilala,9
naalala,9
makuha,9
alice,9
coz,9
abolish,9
inililihis,9
unlad,9
harapan,9
ubos,9
nabanggit,9
palaging,9
sadyang,9
parusahan,9
okay,9
sanang,9
dba,9
matataas,9
itaas,9
ksi,9
systema,9
pakialam,9
bagsak,9
nina,9
kinuha,9
kelan,9
masaya,9
namamatay,9
kasamaan,9
titigil,9
spain,9
pinagsasabi,9
manlang,9
defensor,9
nahiya,9
tibay,9
nagsasabi,9
pinoprotektahan,9
nagtatanong,9
anymore,9
prison,9
mahilig,9
hanga,9
pusong,9
kon,9
tapang,9
aaral,9
dawit,9
departments,9
akusado,9
yari,9
wpp,9
tiwaling,9
walanghiya,9
kwento,9
ugali,9
gagaling,9
mapanagot,9
tabi,9
tauhan,9
benefits,9
enjoy,9
naiisip,9
niyong,9
christ,9
kyong,9
aminin,9
makapasok,9
kind,9
aircon,9
iimbistiga,9
gastos,9
kumuha,9
kinakain,9
inuuna,9
tutal,9
kain,9
sainyo,9
kamatayan,9
los,9
grabeng,9
jesica,9
mabawi,9
municipal,9
cemento,9
descaya,9
makatingin,9
earlier,8
provinces,8
supposed,8
wide,8
recent,8
sediment,8
policy,8
press,8
aside,8
identified,8
head,8
undersecretary,8
involvement,8
probes,8
timothy,8
reform,8
presidential,8
john,8
ramos,8
topnotch,8
cabral,8
bid,8
plans,8
incorporated,8
zoom,8
presented,8
waterways,8
line,8
juan,8
rodrigo,8
disaster,8
trail,8
cycle,8
technology,8
coastal,8
ones,8
floodwaters,8
measures,8
monitoring,8
capital,8
inquiry,8
couple,8
third,8
consequences,8
internal,8
permit,8
critical,8
percentage,8
crisis,8
sabotage,8
little,8
liable,8
turned,8
posts,8
telling,8
collusion,8
effect,8
agriculture,8
earth,8
shares,8
almost,8
spent,8
kids,8
content,8
congresswoman,8
implicated,8
paper,8
pdaf,8
anger,8
whether,8
navotas,8
design,8
netting,8
dbm,8
smart,8
beyond,8
vice,8
cagayan,8
cotabato,8
although,8
korea,8
started,8
toto,8
sop,8
direct,8
nagkaroon,8
otherwise,8
solusyon,8
kitang,8
p26,8
lot,8
dumaan,8
abroad,8
terrible,8
hilig,8
botante,8
basic,8
working,8
mining,8
kabundukan,8
harapin,8
hangga,8
limang,8
ginamit,8
kakampi,8
wlng,8
kidlat,8
minsan,8
lalabas,8
kapangyarihan,8
pagulo,8
kasamahan,8
gabi,8
pilipinong,8
idiin,8
apoy,8
rumualdez,8
honest,8
client,8
victim,8
rosa,8
umuwi,8
mahina,8
bir,8
umasa,8
biglang,8
umamin,8
greedy,8
ipatawag,8
pogi,8
dying,8
dina,8
papunta,8
mamayang,8
tungo,8
nalaman,8
sangay,8
bawal,8
ipakita,8
baba,8
dada,8
libo,8
manggagawa,8
yaan,8
isda,8
gayahin,8
gutom,8
magsabi,8
linaw,8
crimes,8
bisaya,8
malalaman,8
noh,8
journalist,8
madali,8
tapus,8
kalang,8
mgakapal,8
mockha,8
mockhang,8
sinador,8
langit,8
bistado,8
kalbo,8
matinong,8
mona,8
sng,8
kng,8
hehehe,8
kaw,8
madaming,8
pagka,8
hintayin,8
basahin,8
konting,8
pinalitan,8
kumain,8
grupo,8
nuon,8
dyos,8
binibigay,8
sweldo,8
bwaya,8
hahahahaha,8
kapakanan,8
habulin,8
prrd,8
hays,8
singapore,8
sins,8
drug,8
yng,8
toh,8
asenso,8
lisensya,8
nagtitiis,8
mamga,8
buto,8
understand,8
usa,8
ari,8
bugok,8
klaseng,8
isisi,8
eng,8
lumulubog,8
lulubog,8
reklamo,8
mabilis,8
dead,8
publiko,8
proverbs,8
mmm,8
force,7
mark,7
castro,7
constructed,7
outrage,7
controversy,7
quirante,7
previously,7
coordination,7
pumping,7
particularly,7
brgy,7
lawyers,7
meaning,7
wawao,7
hagonoy,7
initial,7
immediately,7
grace,7
manager,7
joint,7
monsoon,7
leading,7
followed,7
raised,7
thursday,7
allow,7
budgets,7
near,7
david,7
block,7
recommended,7
implemented,7
payment,7
massive,7
organizations,7
directly,7
study,7
funded,7
dikes,7
tide,7
pangasinan,7
ridon,7
wednesday,7
ending,7
minority,7
duty,7
likely,7
simply,7
baguio,7
exposing,7
safeguards,7
experience,7
concrete,7
green,7
healthy,7
handle,7
relief,7
form,7
mountain,7
member,7
anomaly,7
changed,7
gen,7
involves,7
promise,7
taking,7
stay,7
whatever,7
class,7
guide,7
journalism,7
hand,7
gives,7
sign,7
transparent,7
christopher,7
amounting,7
break,7
farm,7
close,7
sub,7
accounting,7
resilient,7
aid,7
using,7
clearly,7
staff,7
ups,7
season,7
kanino,7
piso,7
kada,7
served,7
homes,7
mitigation,7
allocation,7
online,7
health,7
price,7
travel,7
secure,7
car,7
isn,7
accused,7
shall,7
begin,7
bongbong,7
legislative,7
constitution,7
accusations,7
confidence,7
tagumpay,7
buildings,7
completion,7
view,7
profit,7
doesn,7
park,7
hero,7
rallies,7
stole,7
kiko,7
pointing,7
martial,7
confidential,7
leads,7
connected,7
unless,7
special,7
longer,7
regular,7
low,7
concern,7
kickback,7
babies,7
bkt,7
facts,7
per,7
luck,7
biktima,7
dolomite,7
ilihis,7
bunga,7
ngyari,7
bahain,7
kmi,7
imbis,7
mamamatay,7
malunod,7
jusko,7
kakahiya,7
defend,7
nanalo,7
takpan,7
kanang,7
pinipilit,7
naten,7
wisdom,7
papel,7
mayayaman,7
payers,7
tulay,7
kaligtasan,7
qng,7
goes,7
inosente,7
todo,7
pauwiin,7
inday,7
willing,7
karapatan,7
siguradong,7
markolekta,7
dynasty,7
korte,7
king,7
amount,7
hiyang,7
batang,7
usapin,7
maliliit,7
kunyari,7
nkaupo,7
ding,7
pinangalanan,7
congresista,7
tandaan,7
appoint,7
pawang,7
dipa,7
nakaraan,7
kasangkot,7
sus,7
tinatago,7
bantay,7
tanung,7
kinikita,7
floodcontrol,7
laws,7
karin,7
kame,7
mahalaga,7
matino,7
umupo,7
lets,7
orly,7
gobierno,7
godbless,7
leeg,7
coruption,7
iisa,7
mgnanakaw,7
hatulan,7
nalalaman,7
sahud,7
dinala,7
nagulat,7
pumayag,7
congratulations,7
pagbayarin,7
yawa,7
repent,7
ser,7
makakalaya,7
patawa,7
makain,7
nakuha,7
ohh,7
tyo,7
nagsasayang,7
pinili,7
names,7
mabigat,7
sambayanang,7
serbisyo,7
manalo,7
isiwalat,7
nanakawin,7
nahuli,7
influence,7
tapon,7
dika,7
kabataan,7
lubid,7
papano,7
napakayaman,7
lumubog,7
halang,7
goodluck,7
matindi,7
gastusin,7
binubulsa,7
nagaganap,7
sumunod,7
tono,7
kyu,7
sentence,7
sikat,7
padilla,7
dizcaya,7
nasisikmura,7
inang,7
isali,7
indonesia,7
matulungan,7
ibibigay,7
iisip,7
iwas,7
ayos,7
relocate,7
tumaas,7
tumira,7
paglubog,7
ilipat,7
busy,7
residente,7
ordinaryong,7
satin,7
magka,7
tigilan,7
gyud,7
nakakainis,7
kinukurakot,7
mura,7
makasagot,7
revealed,6
owned,6
levels,6
pointed,6
talisay,6
sunstar,6
allan,6
led,6
nearly,6
bay,6
evaluation,6
issued,6
required,6
certificate,6
talking,6
lopez,6
four,6
expected,6
story,6
filed,6
practices,6
malolos,6
include,6
ethical,6
flagged,6
dismissed,6
michael,6
citing,6
handled,6
signed,6
searchable,6
maps,6
ecc,6
proponent,6
review,6
flow,6
presscon,6
named,6
lower,6
common,6
individual,6
rise,6
charge,6
structural,6
ineffective,6
finished,6
mostly,6
ilocos,6
norte,6
comm,6
suspension,6
fully,6
favor,6
panel,6
mamamayang,6
creation,6
page,6
necessary,6
toward,6
founder,6
coin,6
hills,6
essential,6
benjamin,6
dedicated,6
institutional,6
rainfall,6
delay,6
lost,6
limited,6
practical,6
scale,6
deo,6
auditors,6
ordinary,6
pass,6
giving,6
controversial,6
trial,6
approve,6
addressed,6
severe,6
kristine,6
declared,6
resulted,6
operation,6
wouldn,6
annual,6
3rd,6
mapa,6
thousands,6
investigative,6
videos,6
tone,6
malacañang,6
lavish,6
deleted,6
riches,6
sometimes,6
custody,6
estimated,6
tanggap,6
section,6
paghihirap,6
nababanggit,6
fair,6
retired,6
questionable,6
sound,6
doubt,6
priority,6
word,6
meters,6
revised,6
receipts,6
immediate,6
entry,6
false,6
property,6
fear,6
starting,6
legislation,6
moment,6
north,6
stand,6
luneta,6
sunday,6
organized,6
rizal,6
gaa,6
acts,6
scandals,6
del,6
sur,6
pagdating,6
research,6
gave,6
wanted,6
emotional,6
pangulong,6
malalim,6
apektado,6
breaking,6
gets,6
kakasuhan,6
semento,6
kasya,6
nawalan,6
negative,6
kming,6
subdivision,6
kanal,6
phil,6
easy,6
learn,6
gang,6
malaya,6
tanging,6
mauulit,6
rocks,6
equipments,6
physically,6
prayers,6
army,6
munang,6
malawak,6
grabeh,6
ngunit,6
nagdudusa,6
merong,6
imbes,6
mabunyag,6
